TRACTCE10,GEOID10,NAME10,NAMELSAD10,INTPTLAT10,INTPTLON10,nit_long,COUNTYNS10,NAME10_1,NAMELSAD_1,INTPTLAT_1,INTPTLON_1,cancer_num,CID_sum
020500,55015020500,205,Census Tract 205,+44.0645413,-088.1938527,2,01581067,Calumet,Calumet County,+44.0784104,-088.2121322,11,66
020200,55015020200,202,Census Tract 202,+44.1023958,-088.1283976,0,01581067,Calumet,Calumet County,+44.0784104,-088.2121322,35,210
001101,55063001101,11.01,Census Tract 11.01,+43.7907827,-091.2256427,5,01581091,La Crosse,La Crosse County,+43.9082222,-091.1117584,0,0
000800,55063000800,8,Census Tract 8,+43.8070548,-091.2336233,5,01581091,La Crosse,La Crosse County,+43.9082222,-091.1117584,1,11
000500,55063000500,5,Census Tract 5,+43.8229516,-091.2290401,5,01581091,La Crosse,La Crosse County,+43.9082222,-091.1117584,0,0
000600,55063000600,6,Census Tract 6,+43.8191891,-091.2073277,5,01581091,La Crosse,La Crosse County,+43.9082222,-091.1117584,0,0
000100,55063000100,1,Census Tract 1,+43.8591275,-091.2263875,5,01581091,La Crosse,La Crosse County,+43.9082222,-091.1117584,2,22
010600,55063010600,106,Census Tract 106,+43.8239748,-091.1638738,5,01581091,La Crosse,La Crosse County,+43.9082222,-091.1117584,12,132
000400,55063000400,4,Census Tract 4,+43.8135636,-091.2430956,5,01581091,La Crosse,La Crosse County,+43.9082222,-091.1117584,2,22
010203,55063010203,102.03,Census Tract 102.03,+43.9374877,-091.3066146,5,01581091,La Crosse,La Crosse County,+43.9082222,-091.1117584,6,66
010300,55063010300,103,Census Tract 103,+43.8787656,-091.2574437,5,01581091,La Crosse,La Crosse County,+43.9082222,-091.1117584,3,33
010800,55063010800,108,Census Tract 108,+43.8076512,-091.0089278,4,01581091,La Crosse,La Crosse County,+43.9082222,-091.1117584,73,803
010402,55063010402,104.02,Census Tract 104.02,+43.9043192,-091.2345452,5,01581091,La Crosse,La Crosse County,+43.9082222,-091.1117584,2,22
101200,55083101200,1012,Census Tract 1012,+44.9008677,-088.1701413,1,01581102,Oconto,Oconto County,+44.9965754,-088.2065162,5,40
100800,55083100800,1008,Census Tract 1008,+44.9852749,-088.1153756,1,01581102,Oconto,Oconto County,+44.9965754,-088.2065162,6,48
100700,55083100700,1007,Census Tract 1007,+44.9326539,-088.2911066,1,01581102,Oconto,Oconto County,+44.9965754,-088.2065162,5,40
100500,55083100500,1005,Census Tract 1005,+45.1393480,-088.2881423,1,01581102,Oconto,Oconto County,+44.9965754,-088.2065162,19,152
100600,55083100600,1006,Census Tract 1006,+44.9927955,-088.4229643,3,01581102,Oconto,Oconto County,+44.9965754,-088.2065162,17,136
100300,55083100300,1003,Census Tract 1003,+45.2724632,-088.5120268,1,01581102,Oconto,Oconto County,+44.9965754,-088.2065162,25,200
101300,55083101300,1013,Census Tract 1013,+44.7428861,-088.1500096,1,01581102,Oconto,Oconto County,+44.9965754,-088.2065162,11,88
101100,55083101100,1011,Census Tract 1011,+44.8306474,-088.0334442,1,01581102,Oconto,Oconto County,+44.9965754,-088.2065162,12,96
101000,55083101000,1010,Census Tract 1010,+44.8820790,-087.9342343,0,01581102,Oconto,Oconto County,+44.9965754,-088.2065162,5,40
100900,55083100900,1009,Census Tract 1009,+44.9568916,-087.8845532,1,01581102,Oconto,Oconto County,+44.9965754,-088.2065162,4,32
990000,55083990000,9900,Census Tract 9900,+44.7815226,-087.8406162,1,01581102,Oconto,Oconto County,+44.9965754,-088.2065162,13,104
960400,55093960400,9604,Census Tract 9604,+44.8495453,-092.6322480,6,01581107,Pierce,Pierce County,+44.7253365,-092.4262793,0,0
960600,55093960600,9606,Census Tract 9606,+44.6568574,-092.5459001,3,01581107,Pierce,Pierce County,+44.7253365,-092.4262793,9,135
960700,55093960700,9607,Census Tract 9607,+44.7396798,-092.4464336,6,01581107,Pierce,Pierce County,+44.7253365,-092.4262793,7,105
020400,55015020400,204,Census Tract 204,+44.0184670,-088.3040422,2,01581067,Calumet,Calumet County,+44.0784104,-088.2121322,32,192
020100,55015020100,201,Census Tract 201,+44.2043354,-088.0991233,2,01581067,Calumet,Calumet County,+44.0784104,-088.2121322,12,72
001102,55063001102,11.02,Census Tract 11.02,+43.7737091,-091.2192508,5,01581091,La Crosse,La Crosse County,+43.9082222,-091.1117584,1,11
010500,55063010500,105,Census Tract 105,+43.8738000,-091.1969360,5,01581091,La Crosse,La Crosse County,+43.9082222,-091.1117584,1,11
000200,55063000200,2,Census Tract 2,+43.8350005,-091.2374392,5,01581091,La Crosse,La Crosse County,+43.9082222,-091.1117584,2,22
000900,55063000900,9,Census Tract 9,+43.7888240,-091.2464288,5,01581091,La Crosse,La Crosse County,+43.9082222,-091.1117584,3,33
000700,55063000700,7,Census Tract 7,+43.8028237,-091.2049650,6,01581091,La Crosse,La Crosse County,+43.9082222,-091.1117584,1,11
010401,55063010401,104.01,Census Tract 104.01,+43.9251184,-091.1458516,5,01581091,La Crosse,La Crosse County,+43.9082222,-091.1117584,10,110
010700,55063010700,107,Census Tract 107,+43.7529676,-091.1536454,5,01581091,La Crosse,La Crosse County,+43.9082222,-091.1117584,25,275
010101,55063010101,101.01,Census Tract 101.01,+43.9809214,-091.0270436,5,01581091,La Crosse,La Crosse County,+43.9082222,-091.1117584,81,891
000300,55063000300,3,Census Tract 3,+43.8245500,-091.2625753,4,01581091,La Crosse,La Crosse County,+43.9082222,-091.1117584,2,22
010201,55063010201,102.01,Census Tract 102.01,+44.0083143,-091.2038983,5,01581091,La Crosse,La Crosse County,+43.9082222,-091.1117584,41,451
010102,55063010102,101.02,Census Tract 101.02,+43.9010438,-091.0706581,5,01581091,La Crosse,La Crosse County,+43.9082222,-091.1117584,2,22
010202,55063010202,102.02,Census Tract 102.02,+43.9470268,-091.2916651,5,01581091,La Crosse,La Crosse County,+43.9082222,-091.1117584,30,330
960300,55093960300,9603,Census Tract 9603,+44.8597315,-092.5895203,6,01581107,Pierce,Pierce County,+44.7253365,-092.4262793,0,0
960100,55093960100,9601,Census Tract 9601,+44.7778830,-092.1960522,6,01581107,Pierce,Pierce County,+44.7253365,-092.4262793,7,105
960800,55093960800,9608,Census Tract 9608,+44.6352857,-092.2849535,6,01581107,Pierce,Pierce County,+44.7253365,-092.4262793,14,210
960200,55093960200,9602,Census Tract 9602,+44.8089686,-092.4607571,6,01581107,Pierce,Pierce County,+44.7253365,-092.4262793,14,210
960500,55093960500,9605,Census Tract 9605,+44.7863094,-092.7364296,6,01581107,Pierce,Pierce County,+44.7253365,-092.4262793,8,120
970602,55085970602,9706.02,Census Tract 9706.02,+45.8035895,-089.4492472,0,01581103,Oneida,Oneida County,+45.7137913,-089.5366933,24,288
970601,55085970601,9706.01,Census Tract 9706.01,+45.6852314,-089.5115141,0,01581103,Oneida,Oneida County,+45.7137913,-089.5366933,3,36
971001,55085971001,9710.01,Census Tract 9710.01,+45.6598217,-089.8726474,0,01581103,Oneida,Oneida County,+45.7137913,-089.5366933,28,336
970101,55085970101,9701.01,Census Tract 9701.01,+45.8159605,-089.1041850,0,01581103,Oneida,Oneida County,+45.7137913,-089.5366933,7,84
971002,55085971002,9710.02,Census Tract 9710.02,+45.8211920,-089.9144007,0,01581103,Oneida,Oneida County,+45.7137913,-089.5366933,19,228
970102,55085970102,9701.02,Census Tract 9701.02,+45.6339559,-089.2208242,0,01581103,Oneida,Oneida County,+45.7137913,-089.5366933,46,552
970800,55085970800,9708,Census Tract 9708,+45.8555134,-089.6135829,0,01581103,Oneida,Oneida County,+45.7137913,-089.5366933,6,72
971400,55085971400,9714,Census Tract 9714,+45.6353619,-089.3933670,0,01581103,Oneida,Oneida County,+45.7137913,-089.5366933,0,0
971100,55085971100,9711,Census Tract 9711,+45.5988454,-089.6813674,0,01581103,Oneida,Oneida County,+45.7137913,-089.5366933,3,36
970900,55085970900,9709,Census Tract 9709,+45.7706483,-089.6902479,1,01581103,Oneida,Oneida County,+45.7137913,-089.5366933,11,132
971500,55085971500,9715,Census Tract 9715,+45.6560320,-089.3783430,0,01581103,Oneida,Oneida County,+45.7137913,-089.5366933,0,0
960500,55023960500,9605,Census Tract 9605,+43.0546025,-091.1458630,4,01581071,Crawford,Crawford County,+43.2499100,-090.9512302,0,0
960200,55011960200,9602,Census Tract 9602,+44.5750896,-091.6574074,5,01581065,Buffalo,Buffalo County,+44.3897593,-091.7587135,0,0
960200,55023960200,9602,Census Tract 9602,+43.3376730,-091.0153346,4,01581071,Crawford,Crawford County,+43.2499100,-090.9512302,15,255
960400,55023960400,9604,Census Tract 9604,+43.0697190,-091.0420918,3,01581071,Crawford,Crawford County,+43.2499100,-090.9512302,14,238
960300,55023960300,9603,Census Tract 9603,+43.1801763,-090.8813624,4,01581071,Crawford,Crawford County,+43.2499100,-090.9512302,16,272
960100,55023960100,9601,Census Tract 9601,+43.3549025,-090.8036775,4,01581071,Crawford,Crawford County,+43.2499100,-090.9512302,11,187
960400,55011960400,9604,Census Tract 9604,+44.3473939,-091.8023709,5,01581065,Buffalo,Buffalo County,+44.3897593,-091.7587135,2,0
960600,55023960600,9606,Census Tract 9606,+43.0331969,-091.1314609,2,01581071,Crawford,Crawford County,+43.2499100,-090.9512302,0,0
960100,55011960100,9601,Census Tract 9601,+44.4913795,-091.6952321,8,01581065,Buffalo,Buffalo County,+44.3897593,-091.7587135,12,0
960300,55011960300,9603,Census Tract 9603,+44.4660999,-091.9663739,5,01581065,Buffalo,Buffalo County,+44.3897593,-091.7587135,10,0
970500,55085970500,9705,Census Tract 9705,+45.6036199,-089.5149964,0,01581103,Oneida,Oneida County,+45.7137913,-089.5366933,3,36
970400,55085970400,9704,Census Tract 9704,+45.6110798,-089.3710535,0,01581103,Oneida,Oneida County,+45.7137913,-089.5366933,3,36
971300,55085971300,9713,Census Tract 9713,+45.8622127,-089.7211383,0,01581103,Oneida,Oneida County,+45.7137913,-089.5366933,3,36
960600,55095960600,9606,Census Tract 9606,+45.4343796,-092.4631803,2,01581108,Polk,Polk County,+45.4680297,-092.4531541,6,78
961000,55095961000,9610,Census Tract 9610,+45.2697854,-092.3525068,2,01581108,Polk,Polk County,+45.4680297,-092.4531541,6,78
002906,55059002906,29.06,Census Tract 29.06,+42.5160903,-088.0872338,5,01581089,Kenosha,Kenosha County,+42.5797028,-087.4248983,5,70
000700,55059000700,7,Census Tract 7,+42.5956783,-087.8632175,5,01581089,Kenosha,Kenosha County,+42.5797028,-087.4248983,1,14
000500,55059000500,5,Census Tract 5,+42.6218757,-087.8371754,5,01581089,Kenosha,Kenosha County,+42.5797028,-087.4248983,0,0
000400,55059000400,4,Census Tract 4,+42.6071377,-087.8350888,5,01581089,Kenosha,Kenosha County,+42.5797028,-087.4248983,0,0
002700,55059002700,27,Census Tract 27,+42.5422426,-088.0111539,5,01581089,Kenosha,Kenosha County,+42.5797028,-087.4248983,18,252
002800,55059002800,28,Census Tract 28,+42.6179834,-088.1070684,5,01581089,Kenosha,Kenosha County,+42.5797028,-087.4248983,39,546
002000,55059002000,20,Census Tract 20,+42.5153483,-087.8351198,5,01581089,Kenosha,Kenosha County,+42.5797028,-087.4248983,3,42
960500,55011960500,9605,Census Tract 9605,+44.2061971,-091.6434540,5,01581065,Buffalo,Buffalo County,+44.3897593,-091.7587135,12,0
961100,55095961100,9611,Census Tract 9611,+45.3007726,-092.2401740,4,01581108,Polk,Polk County,+45.4680297,-092.4531541,17,221
960200,55095960200,9602,Census Tract 9602,+45.6077226,-092.6406102,2,01581108,Polk,Polk County,+45.4680297,-092.4531541,7,91
960800,55095960800,9608,Census Tract 9608,+45.2747604,-092.6620386,2,01581108,Polk,Polk County,+45.4680297,-092.4531541,8,104
960100,55095960100,9601,Census Tract 9601,+45.6490610,-092.3143471,2,01581108,Polk,Polk County,+45.4680297,-092.4531541,20,260
960700,55095960700,9607,Census Tract 9607,+45.4048192,-092.5927288,2,01581108,Polk,Polk County,+45.4680297,-092.4531541,7,91
960500,55095960500,9605,Census Tract 9605,+45.4030226,-092.3156089,2,01581108,Polk,Polk County,+45.4680297,-092.4531541,6,78
960300,55095960300,9603,Census Tract 9603,+45.5185793,-092.4415244,2,01581108,Polk,Polk County,+45.4680297,-092.4531541,13,169
960900,55095960900,9609,Census Tract 9609,+45.2844677,-092.4932061,2,01581108,Polk,Polk County,+45.4680297,-092.4531541,12,156
001900,55059001900,19,Census Tract 19,+42.5681553,-087.8131301,5,01581089,Kenosha,Kenosha County,+42.5797028,-087.4248983,0,0
001000,55059001000,10,Census Tract 10,+42.5852136,-087.8167677,5,01581089,Kenosha,Kenosha County,+42.5797028,-087.4248983,2,28
000300,55059000300,3,Census Tract 3,+42.6167720,-087.8201790,5,01581089,Kenosha,Kenosha County,+42.5797028,-087.4248983,1,14
000100,55059000100,1,Census Tract 1,+42.6471007,-087.8227626,5,01581089,Kenosha,Kenosha County,+42.5797028,-087.4248983,2,28
003001,55059003001,30.01,Census Tract 30.01,+42.5275238,-088.2864968,5,01581089,Kenosha,Kenosha County,+42.5797028,-087.4248983,6,84
003002,55059003002,30.02,Census Tract 30.02,+42.5226746,-088.2254131,5,01581089,Kenosha,Kenosha County,+42.5797028,-087.4248983,7,98
002903,55059002903,29.03,Census Tract 29.03,+42.5641500,-088.1482998,5,01581089,Kenosha,Kenosha County,+42.5797028,-087.4248983,7,98
002904,55059002904,29.04,Census Tract 29.04,+42.5203939,-088.1523898,6,01581089,Kenosha,Kenosha County,+42.5797028,-087.4248983,7,98
002905,55059002905,29.05,Census Tract 29.05,+42.5733638,-088.0883125,5,01581089,Kenosha,Kenosha County,+42.5797028,-087.4248983,3,42
002602,55059002602,26.02,Census Tract 26.02,+42.5259247,-087.9079479,5,01581089,Kenosha,Kenosha County,+42.5797028,-087.4248983,11,154
002601,55059002601,26.01,Census Tract 26.01,+42.5745235,-087.9212503,5,01581089,Kenosha,Kenosha County,+42.5797028,-087.4248983,2,28
000602,55059000602,6.02,Census Tract 6.02,+42.6176835,-087.8596990,5,01581089,Kenosha,Kenosha County,+42.5797028,-087.4248983,1,14
000601,55059000601,6.01,Census Tract 6.01,+42.6314748,-087.9098880,5,01581089,Kenosha,Kenosha County,+42.5797028,-087.4248983,11,154
002500,55059002500,25,Census Tract 25,+42.5514865,-087.8802682,5,01581089,Kenosha,Kenosha County,+42.5797028,-087.4248983,0,0
002400,55059002400,24,Census Tract 24,+42.5515770,-087.8620796,5,01581089,Kenosha,Kenosha County,+42.5797028,-087.4248983,1,14
001600,55059001600,16,Census Tract 16,+42.5745744,-087.8342035,7,01581089,Kenosha,Kenosha County,+42.5797028,-087.4248983,0,0
001500,55059001500,15,Census Tract 15,+42.5706112,-087.8523392,5,01581089,Kenosha,Kenosha County,+42.5797028,-087.4248983,1,14
001400,55059001400,14,Census Tract 14,+42.5742712,-087.8718005,5,01581089,Kenosha,Kenosha County,+42.5797028,-087.4248983,0,0
970800,55033970800,9708,Census Tract 9708,+44.8665918,-091.9010590,4,01581076,Dunn,Dunn County,+44.9477408,-091.8977203,1,26
970700,55033970700,9707,Census Tract 9707,+44.8474259,-091.9259268,5,01581076,Dunn,Dunn County,+44.9477408,-091.8977203,1,26
970100,55033970100,9701,Census Tract 9701,+45.1292303,-091.8773950,4,01581076,Dunn,Dunn County,+44.9477408,-091.8977203,26,676
970600,55033970600,9706,Census Tract 9706,+44.7973342,-092.0249267,4,01581076,Dunn,Dunn County,+44.9477408,-091.8977203,15,390
011500,55141011500,115,Census Tract 115,+44.3654643,-089.7591255,0,01581130,Wood,Wood County,+44.4614126,-090.0388252,7,147
011400,55141011400,114,Census Tract 114,+44.3673402,-089.8032869,0,01581130,Wood,Wood County,+44.4614126,-090.0388252,0,0
011300,55141011300,113,Census Tract 113,+44.3654027,-089.8363743,0,01581130,Wood,Wood County,+44.4614126,-090.0388252,2,42
010700,55141010700,107,Census Tract 107,+44.5850625,-090.2098271,0,01581130,Wood,Wood County,+44.4614126,-090.0388252,36,756
010500,55141010500,105,Census Tract 105,+44.6460076,-090.1861717,1,01581130,Wood,Wood County,+44.4614126,-090.0388252,0,0
010400,55141010400,104,Census Tract 104,+44.6429917,-090.1601048,2,01581130,Wood,Wood County,+44.4614126,-090.0388252,0,0
011100,55141011100,111,Census Tract 111,+44.4635945,-089.8170938,0,01581130,Wood,Wood County,+44.4614126,-090.0388252,12,252
011000,55141011000,110,Census Tract 110,+44.4179545,-089.7718296,0,01581130,Wood,Wood County,+44.4614126,-090.0388252,6,126
010900,55141010900,109,Census Tract 109,+44.3859220,-089.9936564,0,01581130,Wood,Wood County,+44.4614126,-090.0388252,40,840
010100,55141010100,101,Census Tract 101,+44.5955929,-089.9558770,0,01581130,Wood,Wood County,+44.4614126,-090.0388252,42,882
001700,55035001700,17,Census Tract 17,+44.7978508,-091.5006309,6,01581077,Eau Claire,Eau Claire County,+44.7263547,-091.2864137,0,0
000801,55035000801,8.01,Census Tract 8.01,+44.7878589,-091.4807709,6,01581077,Eau Claire,Eau Claire County,+44.7263547,-091.2864137,0,0
001101,55035001101,11.01,Census Tract 11.01,+44.8095751,-091.4987236,6,01581077,Eau Claire,Eau Claire County,+44.7263547,-091.2864137,0,0
000700,55035000700,7,Census Tract 7,+44.8041028,-091.4793975,6,01581077,Eau Claire,Eau Claire County,+44.7263547,-091.2864137,0,0
001200,55035001200,12,Census Tract 12,+44.8035752,-091.5225309,6,01581077,Eau Claire,Eau Claire County,+44.7263547,-091.2864137,2,60
000600,55035000600,6,Census Tract 6,+44.8227327,-091.4870887,6,01581077,Eau Claire,Eau Claire County,+44.7263547,-091.2864137,2,60
000400,55035000400,4,Census Tract 4,+44.8050699,-091.4281159,8,01581077,Eau Claire,Eau Claire County,+44.7263547,-091.2864137,6,180
204003,55133204003,2040.03,Census Tract 2040.03,+42.9973310,-088.5225755,2,01581126,Waukesha,Waukesha County,+43.0193081,-088.3067069,20,460
203901,55133203901,2039.01,Census Tract 2039.01,+42.8680715,-088.3473838,2,01581126,Waukesha,Waukesha County,+43.0193081,-088.3067069,7,161
203703,55133203703,2037.03,Census Tract 2037.03,+43.0824393,-088.4089884,2,01581126,Waukesha,Waukesha County,+43.0193081,-088.3067069,11,253
203305,55133203305,2033.05,Census Tract 2033.05,+43.0644001,-088.2623123,2,01581126,Waukesha,Waukesha County,+43.0193081,-088.3067069,7,161
202901,55133202901,2029.01,Census Tract 2029.01,+43.0354577,-088.1963725,2,01581126,Waukesha,Waukesha County,+43.0193081,-088.3067069,3,69
202103,55133202103,2021.03,Census Tract 2021.03,+42.9567306,-088.2085493,4,01581126,Waukesha,Waukesha County,+43.0193081,-088.3067069,4,92
202101,55133202101,2021.01,Census Tract 2021.01,+42.9648895,-088.2946270,2,01581126,Waukesha,Waukesha County,+43.0193081,-088.3067069,12,276
201703,55133201703,2017.03,Census Tract 2017.03,+42.9084443,-088.1156769,2,01581126,Waukesha,Waukesha County,+43.0193081,-088.3067069,8,184
001400,55035001400,14,Census Tract 14,+44.8272544,-091.5278766,6,01581077,Eau Claire,Eau Claire County,+44.7263547,-091.2864137,0,0
000802,55035000802,8.02,Census Tract 8.02,+44.7736589,-091.4825903,6,01581077,Eau Claire,Eau Claire County,+44.7263547,-091.2864137,1,30
000803,55035000803,8.03,Census Tract 8.03,+44.7769954,-091.4509610,6,01581077,Eau Claire,Eau Claire County,+44.7263547,-091.2864137,3,90
001600,55035001600,16,Census Tract 16,+44.6770368,-091.5372890,6,01581077,Eau Claire,Eau Claire County,+44.7263547,-091.2864137,42,1260
000301,55035000301,3.01,Census Tract 3.01,+44.8357123,-091.3370047,4,01581077,Eau Claire,Eau Claire County,+44.7263547,-091.2864137,8,240
000200,55035000200,2,Census Tract 2,+44.7175573,-091.2455711,6,01581077,Eau Claire,Eau Claire County,+44.7263547,-091.2864137,54,1620
001300,55035001300,13,Census Tract 13,+44.8200440,-091.5558325,3,01581077,Eau Claire,Eau Claire County,+44.7263547,-091.2864137,5,150
000900,55035000900,9,Census Tract 9,+44.7812812,-091.5213670,6,01581077,Eau Claire,Eau Claire County,+44.7263547,-091.2864137,1,30
000302,55035000302,3.02,Census Tract 3.02,+44.7423008,-091.4009958,6,01581077,Eau Claire,Eau Claire County,+44.7263547,-091.2864137,22,660
001500,55035001500,15,Census Tract 15,+44.8217557,-091.5996487,6,01581077,Eau Claire,Eau Claire County,+44.7263547,-091.2864137,14,420
201403,55133201403,2014.03,Census Tract 2014.03,+43.0091919,-088.1077840,2,01581126,Waukesha,Waukesha County,+43.0193081,-088.3067069,5,115
200804,55133200804,2008.04,Census Tract 2008.04,+43.0731302,-088.1470563,2,01581126,Waukesha,Waukesha County,+43.0193081,-088.3067069,6,138
204302,55133204302,2043.02,Census Tract 2043.02,+43.0927755,-088.4836846,2,01581126,Waukesha,Waukesha County,+43.0193081,-088.3067069,1,23
204004,55133204004,2040.04,Census Tract 2040.04,+42.9695379,-088.4659067,2,01581126,Waukesha,Waukesha County,+43.0193081,-088.3067069,48,1104
204301,55133204301,2043.01,Census Tract 2043.01,+43.1256460,-088.4805550,5,01581126,Waukesha,Waukesha County,+43.0193081,-088.3067069,5,115
204502,55133204502,2045.02,Census Tract 2045.02,+43.1256308,-088.4339160,2,01581126,Waukesha,Waukesha County,+43.0193081,-088.3067069,13,299
204501,55133204501,2045.01,Census Tract 2045.01,+43.1718673,-088.4683276,2,01581126,Waukesha,Waukesha County,+43.0193081,-088.3067069,30,690
